Depmap ID,Expression Public 23Q2,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000021,2.62760683812965,NCIH1693,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000022,0.1763227726404629,PATU8988S,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000023,0.5160151470036647,PATU8988T,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000024,1.1309308698264486,OPM2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000025,5.224580566083445,CH157MN,Meningothelial Tumor,CNS/Brain,Meningothelial Tumor
ACH-000026,1.6507645591169022,253JBV,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000027,1.782408564927373,GOS3,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000028,0.0426443374084937,KPL1,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000029,2.6484654430273142,HCC827GR5,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000030,2.021479727410452,PC14,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000031,5.2671612180222604,PANC0213,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000032,0.3448284969974411,MHHCALL3,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000033,0.3103401206121505,NCIH1819,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000034,0.0285691521967709,PLB985,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000035,2.241840183564671,NCIH1650,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000036,2.5084286525318573,U343,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000037,5.683977106975602,S117,"Sarcoma, NOS",Soft Tissue,"Sarcoma, NOS"
ACH-000038,5.916715481461834,EHEB,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000039,0.01435529297707,SKNMC,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000040,2.032100843167024,U118MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000041,0.0285691521967709,RDES,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000042,3.1747259877061333,PANC0203,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000043,3.524815928357506,HS895T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000044,1.232660756790275,MDAMB134VI,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000045,0.2016338611696504,MV411,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000046,2.333423733725192,ACHN,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000048,0.070389327891398,TOV112D,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000049,5.15623479785027,HEKTE,Non-Cancerous,Kidney,Non-Cancerous
ACH-000050,0.1243281350022017,NCIH929,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000051,0.0565835283663675,TE617T,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000052,0.2265085298086797,A673,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000053,6.884353706847985,KARPAS299,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000054,5.060912049587874,HT1080,Fibrosarcoma,Soft Tissue,Fibrosarcoma
ACH-000055,0.3448284969974411,D283MED,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000056,0.2868811477881615,DOHH2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000057,0.3673710656485294,OPM1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000058,1.761285273361619,ML1,Well-Differentiated Thyroid Cancer,Thyroid,Well-Differentiated Thyroid Cancer
ACH-000059,1.250961573533219,SUPB15,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000060,4.835924074254375,PANC1005,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000061,0.2387868595871164,HH,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000062,1.7990873060740036,RERFLCMS,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000063,0.9107326619029126,HS616T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000064,6.219555769166913,SALE,Non-Cancerous,Lung,Non-Cancerous
ACH-000065,0.0426443374084937,OCIAML5,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000066,6.089371028076838,HCC4006,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000067,2.8933622107638715,HS683,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000068,1.0426443374084935,REC1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000069,4.286881147788161,HS611T,Hodgkin Lymphoma,Lymphoid,Hodgkin Lymphoma
ACH-000070,0.9708536543404837,697,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000071,2.7420062108667365,HS706T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000072,0.1243281350022017,MEG01,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000073,5.002702520379824,GRANTA519,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000074,0.1890338243900171,KU812,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000075,2.8094144442358986,U87MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000076,0.1890338243900171,NCO2,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000077,1.4750848829487828,MJ,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000078,0.1505596765753814,MHHNB11,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000079,0.6690267655096305,TE125T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000080,5.0798047546352585,BDCM,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000081,0.5360529002402097,GDM1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000082,0.8237493603082727,G292CLONEA141B1,Osteosarcoma,Bone,Osteosarcoma
ACH-000083,3.743084055549586,HS281T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000084,0.0976107966264223,MUTZ3,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000085,0.7136958148433591,T3M4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000086,1.2448870591235344,ACCMESO1,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000087,0.0565835283663675,SKES1,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000088,5.87528859822269,HS172T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000089,0.9560566524124028,NCIH684,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000090,2.526068811667588,PC3,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma
ACH-000091,1.15704371014558,OV56,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000092,2.0942360698457656,NCIH2452,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000093,1.9745293124838816,PANC0504,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000094,2.0250287944915226,HPAFII,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000095,2.51096191927738,D341Med,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000096,0.0565835283663675,G401,Rhabdoid Cancer,Kidney,Rhabdoid Cancer
ACH-000097,0.0285691521967709,ZR751,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000098,2.2234225499349374,GAMG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000099,0.1763227726404629,SIMA,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000100,0.4329594072761063,RH41,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000101,0.2750070474998698,KE37,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000102,3.893362210763872,GMS10,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000103,0.8399595874895318,CAOV4,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000104,0.7990873060740036,LOUCY,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000105,0.7824085649273732,ALLSIL,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000106,6.7873802222963375,JVM2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000107,3.035623909730721,CAPAN2,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000108,0.7484612330040357,KP3,Adenosquamous Carcinoma of the Pancreas,Pancreas,Adenosquamous Carcinoma of the Pancreas
ACH-000109,3.840966704487421,NCIH3255,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000110,4.346956889378885,NCCSTCK140,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000111,0.3103401206121505,HCC1187,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000112,0.0285691521967709,SIGM5,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000113,0.0840642647884745,OCIAML2,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000114,3.571676809970932,SU8686,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000115,0.6870606883398922,VCAP,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma
ACH-000116,0.4005379295837288,OAW28,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000117,0.3561438102252753,EFM192A,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000118,3.950468414150123,HUPT3,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000119,1.613531652917927,HS863T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000120,1.726831217032493,CHP212,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000121,0.8953026213333066,NCIH2405,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000122,0.6870606883398922,SUPT11,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000123,0.5360529002402097,COV434,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000124,0.5160151470036647,OCILY19,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000125,0.1634987322828795,TO175T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000126,3.0143552929770703,KG1C,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000127,2.895302621333306,SLR20,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000128,2.292781749227846,LN319,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000129,0.3673710656485294,NCIH1341,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000130,0.1505596765753814,NALM19,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000131,3.9231491804723087,HS229T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000132,1.0908534304511135,JHOS2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000133,1.4168397419128294,HS729,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000134,0.5945485495503542,HS274T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000135,2.280956313831056,HS940T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000136,0.0,CHP126,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000137,2.4776773275653072,8MGBA,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000138,2.929790997718597,CFPAC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000139,4.7300964655954685,PANC0327,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000140,0.070389327891398,PFEIFFER,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000141,1.7355221772965377,SNU308,Intracholecystic Papillary Neoplasm,Biliary Tract,Intracholecystic Papillary Neoplasm
ACH-000142,2.469885976274464,CAL29,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000143,0.632268215499513,HCC2429,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000144,0.1763227726404629,RERFGC1B,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000145,2.493134922305505,SKLMS1,Leiomyosarcoma,Soft Tissue,Leiomyosarcoma
ACH-000146,0.3334237337251918,THP1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000147,0.2141248053528473,T47D,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000148,2.657640005207824,HS578T,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000149,4.728464765092534,SKNSH,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000150,4.460742563789644,HCC2935,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000151,0.1110313123887439,JM1,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000152,4.777682717073553,M059K,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000153,4.634012356402116,NCIH2052,Pleural Mesothelioma,Pleura,Pleural Mesothelioma
ACH-000154,1.867896463992655,HS888T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000155,3.526068811667588,SW1990,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000156,1.2387868595871168,MHHCALL4,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000157,0.8953026213333066,A4FUK,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000158,2.4828482830684653,OCILY3,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000159,3.2539892662307865,OSRC2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000160,0.1243281350022017,BT12,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000161,2.8579809951275723,CORL105,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000162,0.1890338243900171,GA10,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000163,1.0565835283663676,SW579,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000164,0.0976107966264223,PANC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000165,2.028569152196771,HS751T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000166,0.3785116232537298,KASUMI6,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000167,4.183486514459391,KE97,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000168,0.0426443374084937,NOMO1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000169,1.0356239097307212,RD,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000170,6.064796645911805,PRECLH,Non-Cancerous,Prostate,Non-Cancerous
ACH-000171,1.5360529002402097,VMRCRCZ,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000172,1.15704371014558,TM87,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000173,3.989139007368233,JHUEM3,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000174,6.11603199344711,CAL62,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer
ACH-000175,0.6690267655096305,TE159T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000176,2.568032104771279,LOUNH91,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000177,1.875780063068488,NCIH660,Prostate Small Cell Carcinoma,Prostate,Prostate Small Cell Carcinoma
ACH-000178,2.62760683812965,HS766T,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000179,0.7739963251111731,NCIH1618,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000180,0.8399595874895318,HS839T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000181,1.510961919277379,SCC9,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000182,2.2203299548795554,SNU869,Ampullary Carcinoma,Ampulla of Vater,Ampullary Carcinoma
ACH-000183,1.1890338243900171,L363,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000184,2.035623909730721,HS343T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000185,0.7484612330040357,HS737T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000186,5.3377110921282895,NCIH2444,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000187,0.01435529297707,CORL311,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor
ACH-000188,1.875780063068488,SCC25,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000189,2.548436624696042,RCC10RGB,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000190,3.759155833800272,HDMYZ,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000191,1.944858445807539,BHT101,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer
ACH-000192,0.8953026213333066,MFE280,Endometrial Carcinoma,Uterus,Endometrial Carcinoma
ACH-000193,0.3334237337251918,KARPAS620,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000194,0.8155754288625725,HS934T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000195,3.190614860209497,SET2,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000196,0.070389327891398,HCC1599,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000197,0.0976107966264223,TALL1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000198,0.5260688116675876,EOL1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000199,2.266036893995317,HS255T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000200,4.857483428286672,NMCG1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000201,0.8399595874895318,A204,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma
ACH-000202,0.0285691521967709,COLO320,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000203,2.0942360698457656,NH6,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000204,0.3785116232537298,LP1,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000205,4.130107178658833,PK59,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000206,0.3785116232537298,C8166,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma
ACH-000207,1.883620816285672,DETROIT562,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000208,4.021479727410452,U178,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000209,2.978195629681652,SNU1079,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct
ACH-000210,0.01435529297707,CADOES1,Ewing Sarcoma,Bone,Ewing Sarcoma
ACH-000211,2.992768430768924,DAOY,Embryonal Tumor,CNS/Brain,Embryonal Tumor
ACH-000212,6.1170716238451215,CAL120,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000213,2.611172380044005,HUPT4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000214,5.590362488463746,HS675T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000215,2.039138393906958,LN382,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000216,4.570462931026041,JHESOAD1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000217,4.311067102255596,JHH6,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000218,0.1110313123887439,PL21,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000219,1.769771739249448,A375,Melanoma,Skin,Melanoma
ACH-000220,0.5753123306874368,MINO,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000221,0.0976107966264223,SNU398,Hepatocellular Carcinoma,Liver,Hepatocellular Carcinoma
ACH-000222,0.2986583155645151,ASPC1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000223,2.411426245726465,HCC1937,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000224,0.7907720378619999,HS819T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000225,0.4329594072761063,ECC12,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000226,4.877744249949002,SUPM2,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000227,0.070389327891398,KPNYN,Neuroblastoma,Peripheral Nervous System,Neuroblastoma
ACH-000228,0.8237493603082727,BICR31,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000229,1.0214797274104517,HS822T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000230,3.84799690655495,HS742T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000231,4.196134880765161,KALS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000232,2.5360529002402097,U251MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000233,7.552745936748446,DEL,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000234,3.23112515787905,CAKI2,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000235,3.0874628412503395,PANC0403,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000236,1.944858445807539,SW1417,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000237,1.713695814843359,JHOM1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000238,3.234194722953812,SCC4,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma
ACH-000239,0.1505596765753814,HUG1N,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000240,0.6415460290875237,HS600T,Non-Cancerous,Fibroblast,Non-Cancerous
ACH-000241,0.9107326619029126,JK1,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms
ACH-000242,0.411426245726465,RT4,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000243,3.463360885816658,DANG,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000244,1.8559896973084808,DKMG,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000245,0.0840642647884745,BL41,Non-Hodgkin Lymphoma,Lymphoid,Non-Hodgkin Lymphoma
ACH-000247,0.6599245584023783,OCUM1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma
ACH-000248,1.7092906357233577,AU565,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000249,1.613531652917927,CL11,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000250,1.5260688116675876,KMRC20,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000251,0.1890338243900171,NCIH2887,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000252,0.918386234446348,LS1034,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
